t	desired	actual	limit	b-cast	f-avg	f-sdev	f-g0	f-g1	f-g2	f-g3	f-g4	f-g5	f-g6	f-g7	f-g8	f-g9	d-g0	g0	d-g1	g1	d-g2	g2	d-g3	g3	d-g4	g4	d-g5	g5	d-g6	g6	d-g7	g7	d-g8	g8	d-g9	g9	
68	443	443	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	75	75	37	37	34	34	45	45	50	50	32	32	40	40	50	50	43	43	37	37	
69	398	398	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	70	70	28	28	30	30	29	29	54	54	24	24	49	49	45	45	39	39	30	30	
70	367	367	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	50	50	45	45	29	29	20	20	35	35	26	26	47	47	41	41	31	31	43	43	
71	397	397	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	44	44	37	37	35	35	29	29	40	40	15	15	61	61	52	52	43	43	41	41	
72	401	401	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	67	67	46	46	11	11	38	38	38	38	29	29	44	44	52	52	39	39	37	37	
73	424	424	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	59	59	26	26	28	28	44	44	55	55	30	30	49	49	57	57	31	31	45	45	
74	336	336	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	48	48	50	50	23	23	32	32	20	20	24	24	27	27	48	48	37	37	27	27	
75	417	417	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	68	68	34	34	31	31	37	37	34	34	45	45	48	48	39	39	47	47	34	34	
76	382	382	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	64	64	32	32	38	38	39	39	32	32	32	32	46	46	37	37	24	24	38	38	
77	412	412	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	61	61	41	41	19	19	46	46	36	36	13	13	43	43	58	58	43	43	52	52	
