t	desired	actual	limit	b-cast	f-avg	f-sdev	f-g0	f-g1	f-g2	f-g3	f-g4	f-g5	f-g6	f-g7	f-g8	f-g9	d-g0	g0	d-g1	g1	d-g2	g2	d-g3	g3	d-g4	g4	d-g5	g5	d-g6	g6	d-g7	g7	d-g8	g8	d-g9	g9	
83	480	480	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	52	52	35	35	47	47	35	35	87	87	35	35	61	61	45	45	40	40	43	43	
84	465	465	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	57	57	48	48	44	44	31	31	66	66	41	41	67	67	34	34	33	33	44	44	
85	529	529	 600	9	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	37	37	59	59	53	53	26	26	97	97	58	58	78	78	48	48	21	21	52	52	
86	514	514	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	56	56	49	49	62	62	43	43	61	61	44	44	71	71	37	37	32	32	59	59	
87	440	440	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	46	46	40	40	44	44	53	53	65	65	38	38	66	66	15	15	42	42	31	31	
88	472	472	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	53	53	35	35	48	48	40	40	52	52	56	56	73	73	37	37	27	27	51	51	
89	480	480	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	36	36	59	59	35	35	32	32	56	56	47	47	68	68	44	44	38	38	65	65	
90	456	456	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	35	35	56	56	33	33	43	43	84	84	59	59	62	62	33	33	18	18	33	33	
91	404	404	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	40	40	34	34	43	43	34	34	41	41	42	42	56	56	22	22	47	47	45	45	
92	497	497	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	54	54	45	45	34	34	45	45	63	63	50	50	70	70	27	27	53	53	56	56	
93	492	492	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	61	61	41	41	46	46	39	39	83	83	39	39	69	69	23	23	41	41	50	50	
94	531	531	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	57	57	45	45	30	30	67	67	77	77	41	41	77	77	41	41	31	31	65	65	
95	439	439	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	46	46	35	35	19	19	48	48	92	92	29	29	68	68	24	24	17	17	61	61	
96	455	455	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	26	26	27	27	54	54	50	50	66	66	38	38	73	73	40	40	30	30	51	51	
97	484	484	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	57	57	42	42	41	41	36	36	69	69	39	39	82	82	35	35	41	41	42	42	
98	485	485	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	47	47	54	54	38	38	41	41	44	44	61	61	79	79	35	35	37	37	49	49	
99	515	515	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	55	55	64	64	35	35	43	43	62	62	48	48	62	62	38	38	38	38	70	70	
100	489	489	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	62	62	34	34	38	38	43	43	65	65	39	39	84	84	31	31	40	40	53	53	
101	473	473	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	51	51	47	47	46	46	38	38	76	76	50	50	46	46	22	22	59	59	38	38	
102	492	492	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	47	47	50	50	36	36	37	37	79	79	55	55	87	87	31	31	32	32	38	38	
103	519	519	 600	9	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	64	64	40	40	50	50	45	45	74	74	44	44	56	56	39	39	44	44	63	63	
104	466	466	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	50	50	22	22	43	43	37	37	79	79	54	54	79	79	29	29	26	26	47	47	
105	460	460	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	50	50	47	47	43	43	45	45	70	70	53	53	42	42	33	33	32	32	45	45	
